"Rank","Gene","p_value"
6667,"SPART",5.8034231743886e-05
6668,"MKRN2",5.80621563572759e-05
6669,"CDC42EP4",5.8111185329562e-05
6670,"RAB18",5.8240675780356e-05
6671,"JAGN1",5.83300680617622e-05
6672,"DGUOK-AS1",5.83450441745688e-05
6673,"CHDH",5.85907890226688e-05
6674,"ADAMTS5",5.86200717241849e-05
6675,"ENSG00000264269",5.86466920925537e-05
6676,"IGLC1",5.86638678336542e-05
6677,"ENSG00000259126",5.86692847496427e-05
6678,"MEF2A",5.86809373387048e-05
6679,"RGS11",5.88111167021302e-05
6680,"ENSG00000287884",5.88375525829995e-05
6681,"ENSG00000254433",5.89431236887927e-05
6682,"ZBTB37",5.9207010578712e-05
6683,"ENSG00000278959",5.92238733639275e-05
6684,"RIPK3",5.92518622221776e-05
6685,"SOX4",5.93907346772777e-05
6686,"ZNF792",5.94365429964693e-05
6687,"TSFM",5.94655983266942e-05
6688,"RNY4P10",5.9468842084021e-05
6689,"MIR6728",5.95149945208498e-05
6690,"PRRT2",5.95982577824986e-05
6691,"ENTPD5",5.96526292356176e-05
6692,"LINC00485",5.96597096358642e-05
6693,"SRGAP2D",5.99600568577641e-05
6694,"C9orf72",6.00173945892923e-05
6695,"SELENOO",6.01049372708041e-05
6696,"RPL7AP22",6.01754897240682e-05
6697,"PI4KAP2",6.02024930254263e-05
6698,"NEURL1B",6.02464731600913e-05
6699,"UTRN",6.02771765687668e-05
6700,"SPC25",6.03784629888951e-05
6701,"CCDC57",6.04989290318795e-05
6702,"LINC01605",6.05664205289032e-05
6703,"CARNS1",6.07059832395859e-05
6704,"ENSG00000287294",6.0746484101457e-05
6705,"GAPDH",6.09286689805437e-05
6706,"MIR223HG",6.11014187517185e-05
6707,"ENSG00000263499",6.11328578214225e-05
6708,"MLXIPL",6.12307710922558e-05
6709,"PCDHGA2",6.12337832099245e-05
6710,"ENSG00000262728",6.13008546782421e-05
6711,"ENSG00000272144",6.14279959095231e-05
6712,"ARHGAP15-AS1",6.14901538144445e-05
6713,"ENSG00000276445",6.15868467382853e-05
6714,"NUDT16-DT",6.17207293366942e-05
6715,"KRT8P11",6.18348356864874e-05
6716,"ENSG00000226945",6.1906188440407e-05
6717,"TP53TG3D",6.20265291525505e-05
6718,"ENSG00000275180",6.22913266529746e-05
6719,"LIMS3",6.23515353397741e-05
6720,"ENSG00000286520",6.23575332126289e-05
6721,"ENSG00000272733",6.23697561165616e-05
6722,"LHFPL4",6.24549195046869e-05
6723,"ENSG00000286430",6.24570250289581e-05
6724,"KCTD5P1",6.2804332291915e-05
6725,"TBX21",6.29607178692286e-05
6726,"PLCE1",6.30494505187398e-05
6727,"ENSG00000232448",6.3276292284275e-05
6728,"POLN",6.3343730275109e-05
6729,"PLBD1",6.3370258857149e-05
6730,"PGD",6.3431535516669e-05
6731,"ENSG00000263096",6.34727721705231e-05
6732,"CBFA2T3",6.35952178676376e-05
6733,"ENSG00000286447",6.35962092016719e-05
6734,"ENSG00000224746",6.36142671292764e-05
6735,"LRIT3",6.36415421270007e-05
6736,"PRKAG1",6.36487283691747e-05
6737,"ADRA1A",6.36490878955896e-05
6738,"IGKV1-39",6.37153285785247e-05
6739,"ENO1",6.39306620252666e-05
6740,"LINC02468",6.40813446289058e-05
6741,"COX17",6.40998782387455e-05
6742,"TMEM185B",6.41464132411488e-05
6743,"ENSG00000275830",6.42402877481189e-05
6744,"CMTM6",6.44329352326834e-05
6745,"VEPH1",6.44925272631928e-05
6746,"ENSG00000230537",6.45058011431009e-05
6747,"PRDM16-DT",6.45813252342425e-05
6748,"ENSG00000274270",6.45838490774813e-05
6749,"NIFK",6.46086934893526e-05
6750,"TEX22",6.46117987608802e-05
6751,"ENSG00000282859",6.46158433430928e-05
6752,"IGKV3-20",6.463128070708e-05
6753,"TMEM132C",6.47857007917869e-05
6754,"ENSG00000205485",6.48213588022593e-05
6755,"IGLV3-21",6.49628251734028e-05
6756,"DIRAS3",6.49934734643173e-05
6757,"TRERF1",6.50502875528964e-05
6758,"TRMU",6.50793072067993e-05
6759,"STYXL1",6.51363955171144e-05
6760,"MUC20",6.51421190499975e-05
6761,"DNM1L",6.5162199438732e-05
6762,"ZNF528-AS1",6.5220624829818e-05
6763,"SH3PXD2B",6.52638688109648e-05
6764,"RN7SL650P",6.52680946000034e-05
6765,"TCTN1",6.53712952258962e-05
6766,"ENSG00000277287",6.54888884734152e-05
6767,"VSNL1",6.55275502775244e-05
6768,"SNORA52",6.55754488894764e-05
6769,"MROCKI",6.5722412534042e-05
6770,"ENSG00000259828",6.57817030314877e-05
6771,"TMEM100",6.57857340786168e-05
6772,"VTI1B",6.57923447449649e-05
6773,"FAM200A",6.58588815329666e-05
6774,"PNMT",6.58991358302903e-05
6775,"POM121L2",6.59211337092845e-05
6776,"ENSG00000218175",6.60990808928156e-05
6777,"RTL10",6.61002945653621e-05
6778,"ENSG00000187186",6.61237512309033e-05
6779,"ENSG00000273209",6.61459097677387e-05
6780,"LINC01822",6.61673123196288e-05
6781,"ENTPD8",6.62995603565219e-05
6782,"KCTD10",6.63319041718313e-05
6783,"ENSG00000289507",6.63755834999473e-05
6784,"CNNM4",6.64768173345897e-05
6785,"NPDC1",6.65584003908945e-05
6786,"TADA2A",6.660345497041e-05
6787,"RN7SL405P",6.66693855265411e-05
6788,"ENSG00000225555",6.66934030975417e-05
6789,"PRXL2B",6.6830793857257e-05
6790,"SUNO1",6.68974671354159e-05
6791,"HADH",6.69407109465883e-05
6792,"SLC66A2",6.70250423881352e-05
6793,"ZNF460",6.70982014302637e-05
6794,"PPIEL",6.71550920698344e-05
6795,"MRPS10",6.72357959929996e-05
6796,"MRPS16",6.72763137502996e-05
6797,"CDH3",6.7341658522956e-05
6798,"HCN1",6.74148678504594e-05
6799,"MED12L",6.74302023482703e-05
6800,"CAPN9",6.74759351482007e-05
6801,"ENSG00000289437",6.75365559232753e-05
6802,"HNRNPD-DT",6.75399259295706e-05
6803,"ENSG00000273973",6.75946614338079e-05
6804,"SPHK1",6.76644989763173e-05
6805,"ENSG00000244757",6.78479992885436e-05
6806,"KCNA7",6.78647165231534e-05
6807,"CARM1",6.80679914709856e-05
6808,"SLC5A10",6.80832883055228e-05
6809,"ZNF615",6.81313941453664e-05
6810,"ENSG00000268201",6.81538935272799e-05
6811,"NOC2LP1",6.82707691799337e-05
6812,"GK5",6.84664322934041e-05
6813,"ENSG00000237768",6.85914515120653e-05
6814,"LAMTOR5-AS1",6.86478177226306e-05
6815,"CELF2-AS1",6.89190830412479e-05
6816,"TMEM109-DT",6.89938271357761e-05
6817,"SERPINE2",6.90252540806574e-05
6818,"LRP8",6.90387360237894e-05
6819,"RAPGEF1",6.91375166885083e-05
6820,"ADD3-AS1",6.94909720407807e-05
6821,"PTX4",6.95115640337701e-05
6822,"PLCG1",6.9538989311707e-05
6823,"CHEK1",6.96169201510301e-05
6824,"MRPS31P5",6.99475748514511e-05
6825,"PPFIBP1",6.99665226822261e-05
6826,"LRRC8A",6.99798477860153e-05
6827,"NKD1",6.99889645514822e-05
6828,"THUMPD3-AS1",6.99964209076611e-05
6829,"ENSG00000250069",7.01038126558805e-05
6830,"MRPS2",7.03034919239819e-05
6831,"ITPKA",7.04189762489622e-05
6832,"GUSB",7.05639890137629e-05
6833,"CLIC4",7.0594909709385e-05
6834,"TWF1",7.06706402996362e-05
6835,"DAAM2",7.07155603515543e-05
6836,"ABHD11",7.0750579228907e-05
6837,"BNIPL",7.07721179659045e-05
6838,"LINC00907",7.08232664121086e-05
6839,"ENSG00000262319",7.0838806158099e-05
6840,"ENSG00000225726",7.1358844544134e-05
6841,"MADD",7.1404057958339e-05
6842,"ENSG00000271367",7.17688521715533e-05
6843,"GTF2F2P1",7.19200490162522e-05
6844,"ENSG00000287081",7.20018350261698e-05
6845,"PCNA",7.20119045299203e-05
6846,"PIBF1",7.21366279997503e-05
6847,"NNAT",7.21610348060162e-05
6848,"ENSG00000278985",7.2200166827689e-05
6849,"CCDC54",7.22405138646932e-05
6850,"ENSG00000271780",7.23302473320552e-05
6851,"ENSG00000229990",7.2532322466834e-05
6852,"ENSG00000269374",7.26571349786433e-05
6853,"ENSG00000234630",7.2761770430307e-05
6854,"TLR8",7.2779191340173e-05
6855,"MFSD6",7.29244298070377e-05
6856,"ENSG00000253286",7.29361839772806e-05
6857,"NPIPB4",7.32328119890785e-05
6858,"SEMA4A",7.32430833469036e-05
6859,"RPL10P13",7.33308415445113e-05
6860,"ZNF624",7.36567143424094e-05
6861,"TLR2",7.38305193036802e-05
6862,"NOL8",7.38598765198091e-05
6863,"PACSIN2",7.39534545259358e-05
6864,"RANBP3-DT",7.41349695948209e-05
6865,"FIGNL1",7.41801508458322e-05
6866,"FBH1",7.42556727697768e-05
6867,"NAA60",7.43150035984604e-05
6868,"RPL10AP6",7.4562970524466e-05
6869,"SRSF5",7.45735528626951e-05
6870,"CCDC7",7.4605730301125e-05
6871,"MYH1",7.46136403321035e-05
6872,"RNVU1-4",7.49783144115966e-05
6873,"NAGPA",7.50279773719562e-05
6874,"DHRS3",7.51203107249085e-05
6875,"RPS13P2",7.5180761257193e-05
6876,"RN7SKP253",7.51824476028887e-05
6877,"ZNF207",7.52392065129157e-05
