"Rank","Gene","p_value"
589,"ENSG00000285667",3.35902050415321e-08
590,"TRIP12",3.39567090672921e-08
591,"EMC7",3.401792667814e-08
592,"ENSG00000251188",3.43504049600447e-08
593,"EXT1",3.43626718280378e-08
594,"USP38-DT",3.43678637813105e-08
595,"CYP4F12",3.44961882058804e-08
596,"TRIM26",3.49758472355681e-08
597,"CACNG8",3.56071394415565e-08
598,"COL1A2",3.59363130274235e-08
599,"TPT1-AS1",3.59787823797421e-08
600,"ENSG00000274898",3.64607273590567e-08
601,"ZDHHC5",3.68435756143653e-08
602,"PDHB",3.71844705713023e-08
603,"ENSG00000246792",3.72878985949462e-08
604,"VCP",3.776598135876e-08
605,"HSPA4",3.83343742025383e-08
606,"STAC2",3.84709501470086e-08
607,"LGI3",3.86415878721479e-08
608,"ENSG00000262528",3.94338129916722e-08
609,"ENSG00000271778",3.99933447084278e-08
610,"TPD52",4.00703504647741e-08
611,"SMAP1",4.1370127340846e-08
612,"ENSG00000231050",4.1445311419462e-08
613,"SORT1",4.22151208156462e-08
614,"NAA25",4.22240462710412e-08
615,"ENSG00000287760",4.26910763547469e-08
616,"TEDDM1",4.2836919508273e-08
617,"USP38",4.35364454438419e-08
618,"EMC3",4.39644595108157e-08
619,"LINC02019",4.43531687222204e-08
620,"DHDH",4.47230480494257e-08
621,"SPOCK2",4.5034680432723e-08
622,"HNRNPH2",4.56968203054227e-08
623,"OLFML2B",4.59219595143872e-08
624,"CCSER2",4.61661564220914e-08
625,"CEBPB-AS1",4.62887307239978e-08
626,"ENSG00000285587",4.64223780766556e-08
627,"SNORA33",4.69188602356679e-08
628,"STAU1",4.69437334149916e-08
629,"SUB1",4.72275987950174e-08
630,"DAAM1",4.72562091396789e-08
631,"ARHGAP33",4.74854023871351e-08
632,"WDR75",4.75525706152284e-08
633,"LTBP1",4.77048900902253e-08
634,"ENSG00000286830",4.80824509973516e-08
635,"TFPI2",4.83137586768355e-08
636,"UBE2A",4.91217569137894e-08
637,"ENSG00000288896",4.95009757470839e-08
638,"EZHIP",4.98621603086271e-08
639,"ENSG00000264727",5.00808019366784e-08
640,"MTRNR2L4",5.05735604936695e-08
641,"ENSG00000258017",5.15252103441802e-08
642,"MMP28",5.185624410208e-08
643,"LINGO1",5.18733329461371e-08
644,"CHSY3",5.2929838309035e-08
645,"ENSG00000280334",5.31889392523602e-08
646,"ENSG00000271401",5.31935005676739e-08
647,"EPDR1",5.3798464340623e-08
648,"ENSG00000272263",5.45641220867679e-08
649,"Metazoa_SRP",5.4872414947544e-08
650,"ARHGAP1",5.50220792001229e-08
651,"FAM171B",5.5123454564434e-08
652,"DIRC3-AS1",5.55483559872726e-08
653,"LRRC55",5.58005251203789e-08
654,"RBM19",5.59857089284652e-08
655,"ENSG00000267372",5.6792352623664e-08
656,"ITGB1BP2",5.77253334411893e-08
657,"LIN7A",5.83734509492097e-08
658,"REST",5.89065397945111e-08
659,"ABHD2",5.93266777385929e-08
660,"GALNT2",5.99108107506676e-08
661,"ENSG00000274444",6.00713021043925e-08
662,"C2orf49-DT",6.06060927085512e-08
663,"ENSG00000239467",6.06563882420918e-08
664,"KCTD1",6.1728478749159e-08
665,"PRDX6-AS1",6.1761104983972e-08
666,"ENSG00000227492",6.21877449930205e-08
667,"ATXN1",6.22511653939992e-08
668,"PLPPR4",6.285800916437e-08
669,"RPS19",6.39853307640081e-08
670,"LINC01012",6.4298714865657e-08
671,"MED18",6.49033005709817e-08
672,"LATS2",6.4907633794525e-08
673,"PDE6C",6.50867547659704e-08
674,"ENSG00000268810",6.56051845081684e-08
675,"ENSG00000287356",6.62849786146718e-08
676,"MSH5",6.66806974071878e-08
677,"PIGT",6.67159137087404e-08
678,"ENSG00000275807",6.67656305986031e-08
679,"ENSG00000239415",6.70592196395763e-08
680,"MXRA7",6.74757128980814e-08
681,"USP9X",6.83032295783887e-08
682,"FMO2",6.83500966755504e-08
683,"FAM184A",6.84805342986949e-08
684,"ARHGAP19",6.84839457281659e-08
685,"RAB7A",6.85442325913217e-08
686,"INPP5J",6.8901942212983e-08
687,"DDX12P",6.89815074912511e-08
688,"SAE1",6.95590318112047e-08
689,"ENSG00000289540",7.01493318818747e-08
690,"RNF6",7.03704355577769e-08
691,"ARSB",7.07359036961945e-08
692,"C4orf33",7.07982786715136e-08
693,"CLTRN",7.12407640259538e-08
694,"LINC02609",7.13677024558361e-08
695,"ARHGAP35",7.13933835043209e-08
696,"DDX51",7.14208941530742e-08
697,"GVQW3",7.14684399213362e-08
698,"CLP1",7.18302776145926e-08
699,"ENSG00000272372",7.24898713803219e-08
700,"CMTM6",7.27502822408819e-08
701,"FBXW7",7.27867603630414e-08
702,"TBC1D32",7.28826235601431e-08
703,"BEX2",7.31046299591498e-08
704,"HEXIM1",7.32056930732997e-08
705,"TMEM117",7.3815391849993e-08
